sample,sample_index,image_id,target_id,target_category_id,epsilon,cci_region,tp_region,switched,cci_selection_target,tp_selection_target,selection_target_delta,cci_selection_worst_margin,tp_selection_worst_margin,selection_feasible_count,selection_target_tie_count,selection_margin_tie_count,best_candidate_coverage,cci_pmax_pm,tp_pmax_pm,delta_pmax_pm,cci_pmax_agg,tp_pmax_agg,delta_pmax_agg,cci_eval_target,tp_eval_target,delta_eval_target,cci_bbox,tp_bbox,delta_bbox,cci_pm_fail,tp_pm_fail,cci_agg_fail,tp_agg_fail,cci_pmean_all_pm,tp_pmean_all_pm,cci_pmean_all_agg,tp_pmean_all_agg,cci_v_rate_agg,tp_v_rate_agg,cci_v_mass_agg,tp_v_mass_agg,cci_hidden_tail_debt,tp_hidden_tail_debt
10,10,458255,65,65,0.02,5,5,False,0.5066242,0.5066242,0.0,-0.2523644,-0.2523644,1,1,1,0.925,-0.21560292,-0.21560292,0.0,-0.21731762861054255,-0.21731762861054255,0.0,0.4153423,0.4153423,0.0,0.8333333333333334,0.8333333333333334,0.0,True,True,True,True,0.3332379,0.3332379,0.33918971199947745,0.33918971199947745,0.05063291139240506,0.05063291139240506,0.005561580263067522,0.005561580263067522,True,True
11,11,211420,67,67,0.02,7,7,False,0.21989235,0.21989235,0.0,-0.45151427,-0.45151427,1,1,1,0.925,-0.2007338,-0.2007338,0.0,-0.18314430603504403,-0.18314430603504403,0.0,0.23021847,0.23021847,0.0,0.05263157894736842,0.05263157894736842,0.0,True,True,True,True,0.60078937,0.60078937,0.6111259778388612,0.6111259778388612,0.02531645569620253,0.02531645569620253,0.003591453232325042,0.003591453232325042,False,False
12,12,414661,1,1,0.02,0,0,False,0.46632323,0.46632323,0.0,-1.4400957,-1.4400957,1,1,1,0.2875,-0.98807687,-0.98807687,0.0,-0.823019765878609,-0.823019765878609,0.0,0.12504642,0.12504642,0.0,0.20754716981132076,0.20754716981132076,0.0,True,True,True,True,0.058040828,0.058040828,0.05911077863944937,0.05911077863944937,0.4430379746835443,0.4430379746835443,0.1328182194741803,0.1328182194741803,False,False
13,13,422836,1,1,0.02,3,3,False,0.50763863,0.50763863,0.0,-0.66848093,-0.66848093,1,1,1,0.55,-0.44270578,-0.44270578,0.0,-0.4130629081718335,-0.4130629081718335,0.0,0.43555507,0.43555507,0.0,0.7,0.7,0.0,True,True,True,True,0.03324862,0.03324862,0.03389284977387563,0.03389284977387563,0.4430379746835443,0.4430379746835443,0.08034964023993509,0.08034964023993509,True,True
14,14,75146,9,9,0.02,5,5,False,2.567934,2.567934,0.0,0.78950155,0.78950155,1,1,1,1.0,0.3418057,0.3418057,0.0,0.6018826296641415,0.6018826296641415,0.0,2.0362122,2.0362122,0.0,0.9047619047619048,0.9047619047619048,0.0,False,False,False,False,1.8038045,1.8038045,1.8381819338584944,1.8381819338584944,0.0,0.0,0.0,0.0,False,False
15,15,28071,13,13,0.02,1,1,False,4.5377703,4.5377703,0.0,2.7287073,2.7287073,1,1,1,1.0,2.7446635,2.7446635,0.0,2.7851278402489195,2.7851278402489195,0.0,4.247264,4.247264,0.0,0.07407407407407407,0.07407407407407407,0.0,False,False,False,False,4.869555,4.869555,4.953553975546723,4.953553975546723,0.0,0.0,0.0,0.0,False,False
16,16,176031,1,1,0.02,5,5,False,0.7170294,0.7170294,0.0,-1.2725928,-1.2725928,1,1,1,0.6625,-0.6747139,-0.6747139,0.0,-0.6076054200365069,-0.6076054200365069,0.0,0.46748933,0.46748933,0.0,0.05714285714285714,0.05714285714285714,0.0,True,True,True,True,0.5314997,0.5314997,0.5413153675113294,0.5413153675113294,0.17721518987341772,0.17721518987341772,0.041924072315391706,0.041924072315391706,False,False
17,17,476704,6,6,0.02,3,3,False,0.6999641,0.6999641,0.0,-1.733547,-1.733547,1,1,1,0.825,-1.6987435,-1.6987435,0.0,-1.7198422758196574,-1.7198422758196574,0.0,0.15622364,0.15622364,0.0,0.6538461538461539,0.6538461538461539,0.0,True,True,True,True,0.27985737,0.27985737,0.2852680414787484,0.2852680414787484,0.24050632911392406,0.24050632911392406,0.09745831064110826,0.09745831064110826,True,True
18,18,312384,6,6,0.02,3,3,False,2.6726015,2.6726015,0.0,0.028258324,0.028258324,1,1,1,1.0,-0.5286973,-0.5286973,0.0,-0.4821764270832003,-0.4821764270832003,0.0,2.0919783,2.0919783,0.0,0.29545454545454547,0.29545454545454547,0.0,True,True,True,True,2.6838093,2.6838093,2.7370066561537723,2.7370066561537723,0.02531645569620253,0.02531645569620253,0.00837237099981347,0.00837237099981347,False,False
19,19,314383,1,1,0.02,4,4,False,0.4096922,0.4096922,0.0,-0.4576172,-0.4576172,1,1,1,0.7375,-0.48612747,-0.48612747,0.0,-0.49629633097722736,-0.49629633097722736,0.0,0.41015324,0.41015324,0.0,0.17391304347826086,0.17391304347826086,0.0,True,True,True,True,0.04858448,0.04858448,0.049388540589878516,0.049388540589878516,0.4177215189873418,0.4177215189873418,0.046851565790945175,0.046851565790945175,False,False
20,20,142261,1,1,0.02,0,0,False,0.09858041,0.09858041,0.0,-0.15566397,-0.15566397,1,1,1,0.9125,-0.32268247,-0.32268247,0.0,-0.29900188907151,-0.29900188907151,0.0,-0.09282347,-0.09282347,0.0,0.4,0.4,0.0,True,True,True,True,0.10923576,0.10923576,0.11124981433091401,0.11124981433091401,0.189873417721519,0.189873417721519,0.023020406217160887,0.023020406217160887,False,False
21,21,510861,1,1,0.02,4,4,False,0.65856546,0.65856546,0.0,-1.4871013,-1.4871013,1,1,1,0.8375,-1.6240333,-1.6240333,0.0,-1.5903358960421632,-1.5903358960421632,0.0,0.29463172,0.29463172,0.0,0.36585365853658536,0.36585365853658536,0.0,True,True,True,True,0.16674066,0.16674066,0.17004555858123435,0.17004555858123435,0.4050632911392405,0.4050632911392405,0.16166308957999606,0.16166308957999606,False,False
22,22,573784,62,62,0.02,4,4,False,0.35454866,0.35454866,0.0,-1.1538337,-1.1538337,1,1,1,0.85,-1.1507617,-1.1507617,0.0,-1.1594078752723027,-1.1594078752723027,0.0,0.37227774,0.37227774,0.0,0.22807017543859648,0.22807017543859648,0.0,True,True,True,True,0.588315,0.588315,0.5988145223028684,0.5988145223028684,0.1518987341772152,0.1518987341772152,0.04761285057199562,0.04761285057199562,False,False
23,23,147667,1,1,0.02,7,7,False,0.2542737,0.2542737,0.0,-0.81837946,-0.81837946,1,1,1,0.9375,-1.3234118,-1.3234118,0.0,-1.3524815927776286,-1.3524815927776286,0.0,0.05547616,0.05547616,0.0,0.9375,0.9375,0.0,True,True,True,True,0.31623614,0.31623614,0.32238632474996476,0.32238632474996476,0.25316455696202533,0.25316455696202533,0.09595780585754879,0.09595780585754879,True,True
24,24,353866,1,1,0.02,2,2,False,0.22009389,0.22009389,0.0,-1.4259902,-1.4259902,1,1,1,0.7125,-1.2213565,-1.2213565,0.0,-1.2448239506106902,-1.2448239506106902,0.0,0.12282345,0.12282345,0.0,0.0,0.0,0.0,True,True,True,True,0.08725849,0.08725849,0.08880744396165126,0.08880744396165126,0.31645569620253167,0.31645569620253167,0.06204883882955157,0.06204883882955157,False,False
25,25,63565,1,1,0.02,0,0,False,0.5019227,0.5019227,0.0,-1.4617596,-1.4617596,1,1,1,0.625,-1.1934223,-1.1934223,0.0,-1.2148538329736205,-1.2148538329736205,0.0,0.36454603,0.36454603,0.0,0.6153846153846154,0.6153846153846154,0.0,True,True,True,True,0.19005771,0.19005771,0.19369918031397693,0.19369918031397693,0.17721518987341772,0.17721518987341772,0.05039501649853432,0.05039501649853432,True,True
26,26,187286,7,7,0.02,2,2,False,0.8804272,0.8804272,0.0,0.70711946,0.70711946,1,1,1,1.0,0.42897204,0.42897204,0.0,0.4365915854477779,0.4365915854477779,0.0,0.6319747,0.6319747,0.0,0.8666666666666667,0.8666666666666667,0.0,False,False,False,False,1.3106052,1.3106052,1.3348282568745646,1.3348282568745646,0.0,0.0,0.0,0.0,False,False
27,27,381870,22,22,0.02,4,4,False,8.760751,8.760751,0.0,6.2679915,6.2679915,1,1,1,1.0,4.9519,4.9519,0.0,5.199012400748582,5.199012400748582,0.0,6.6307654,6.6307654,0.0,0.9523809523809523,0.9523809523809523,0.0,False,False,False,False,8.072589,8.072589,8.239591345612139,8.239591345612139,0.0,0.0,0.0,0.0,False,False
28,28,341424,78,78,0.02,4,4,False,1.3860312,1.3860312,0.0,-2.3010905,-2.3010905,1,1,1,0.875,-1.9341804,-1.9341804,0.0,-1.9723429333562412,-1.9723429333562412,0.0,1.0508748,1.0508748,0.0,0.0392156862745098,0.0392156862745098,0.0,True,True,True,True,0.58759266,0.58759266,0.6033177034615091,0.6033177034615091,0.13924050632911392,0.13924050632911392,0.059143784428879416,0.059143784428879416,False,False
29,29,93175,1,1,0.02,6,6,False,0.44275683,0.44275683,0.0,-0.26747233,-0.26747233,1,1,1,0.9875,-0.640274,-0.640274,0.0,-0.654083957419861,-0.654083957419861,0.0,-0.09714829,-0.09714829,0.0,1.0,1.0,0.0,True,True,True,True,0.6507929,0.6507929,0.6630597950815879,0.6630597950815879,0.10126582278481013,0.10126582278481013,0.01929749652637339,0.01929749652637339,True,True
30,30,218766,1,1,0.02,5,5,False,0.19869788,0.19869788,0.0,-1.0682954,-1.0682954,1,1,1,0.65,-1.0525602,-1.0525602,0.0,-1.0684384228894155,-1.0684384228894155,0.0,0.13759673,0.13759673,0.0,1.0,1.0,0.0,True,True,True,True,0.10376052,0.10376052,0.10572072535987949,0.10572072535987949,0.35443037974683544,0.35443037974683544,0.09393804398847504,0.09393804398847504,True,True
31,31,350171,1,1,0.02,7,7,False,0.5263174,0.5263174,0.0,-0.88499695,-0.88499695,1,1,1,0.9875,-1.2312801,-1.2312801,0.0,-1.254541359061011,-1.254541359061011,0.0,0.10562807,0.10562807,0.0,0.8181818181818182,0.8181818181818182,0.0,True,True,True,True,0.64585656,0.64585656,0.6579966360449254,0.6579966360449254,0.12658227848101267,0.12658227848101267,0.05148289837565571,0.05148289837565571,True,True
32,32,452700,3,3,0.02,4,4,False,1.2623693,1.2623693,0.0,0.43809348,0.43809348,1,1,1,1.0,0.44463238,0.44463238,0.0,0.5413068957109299,0.5413068957109299,0.0,1.2064756,1.2064756,0.0,0.8571428571428571,0.8571428571428571,0.0,False,False,False,False,1.2263091,1.2263091,1.246880099101889,1.246880099101889,0.0,0.0,0.0,0.0,False,False
33,33,94926,1,1,0.02,0,0,False,0.9086767,0.9086767,0.0,-0.13957709,-0.13957709,1,1,1,0.9875,-0.15602852,-0.15602852,0.0,-0.15712511979963412,-0.15712511979963412,0.0,0.41254807,0.41254807,0.0,0.7391304347826086,0.7391304347826086,0.0,True,True,True,True,0.8882049,0.8882049,0.9051147447885017,0.9051147447885017,0.012658227848101266,0.012658227848101266,0.001988925567083976,0.001988925567083976,True,True
34,34,557998,1,1,0.02,1,1,False,0.6460057,0.6460057,0.0,-0.78741056,-0.78741056,1,1,1,0.8375,-0.8092845,-0.8092845,0.0,-0.7330084064118012,-0.7330084064118012,0.0,0.35648263,0.35648263,0.0,1.0,1.0,0.0,True,True,True,True,0.6112016,0.6112016,0.6230128114235718,0.6230128114235718,0.16455696202531644,0.16455696202531644,0.05421455953106685,0.05421455953106685,True,True
35,35,131919,1,1,0.02,0,0,False,0.2780914,0.2780914,0.0,-0.0061838627,-0.0061838627,1,1,1,0.9875,-0.09776793,-0.09776793,0.0,-0.09524179983528597,-0.09524179983528597,0.0,0.19141947,0.19141947,0.0,0.0,0.0,0.0,True,True,True,True,0.10045736,0.10045736,0.10238052344813528,0.10238052344813528,0.13924050632911392,0.13924050632911392,0.004677941835262704,0.004677941835262704,False,False
36,36,325991,1,1,0.02,6,6,False,0.68858117,0.68858117,0.0,-0.49733597,-0.49733597,1,1,1,0.9375,-1.4152942,-1.4152942,0.0,-1.2953176840345586,-1.2953176840345586,0.0,0.027465621,0.027465621,0.0,0.9583333333333334,0.9583333333333334,0.0,True,True,True,True,0.473901,0.473901,0.4831301574196989,0.4831301574196989,0.26582278481012656,0.26582278481012656,0.0943954636091943,0.0943954636091943,True,True
37,37,462755,38,38,0.02,0,0,False,3.515057,3.515057,0.0,0.29019046,0.29019046,1,1,1,1.0,0.10768811,0.10768811,0.0,0.11001978547802915,0.11001978547802915,0.0,2.6409771,2.6409771,0.0,0.7647058823529411,0.7647058823529411,0.0,False,False,False,False,3.7430599,3.7430599,3.821237722970885,3.821237722970885,0.0,0.0,0.0,0.0,False,False
38,38,304186,1,1,0.02,0,0,False,0.7944801,0.7944801,0.0,-1.2812524,-1.2812524,1,1,1,0.6375,-1.3997269,-1.3997269,0.0,-1.4317681626905234,-1.4317681626905234,0.0,0.7335332,0.7335332,0.0,0.9846153846153847,0.9846153846153847,0.0,True,True,True,True,-0.10938079,-0.10938079,-0.11130300702633467,-0.11130300702633467,0.5316455696202531,0.5316455696202531,0.27221106671361295,0.27221106671361295,False,False
39,39,328306,1,1,0.02,2,2,False,0.22581789,0.22581789,0.0,-0.2135888,-0.2135888,1,1,1,0.6,-0.26977196,-0.26977196,0.0,-0.251559945962518,-0.251559945962518,0.0,0.11814594,0.11814594,0.0,0.0,0.0,0.0,True,True,True,True,-0.04976053,-0.04976053,-0.05072611535801201,-0.05072611535801201,0.6708860759493671,0.6708860759493671,0.07292967165334813,0.07292967165334813,False,False
40,40,301282,67,67,0.02,4,4,False,0.77406836,0.77406836,0.0,-6.6248803,-6.6248803,1,1,1,0.625,-6.4811707,-6.4811707,0.0,-6.596664827435329,-6.596664827435329,0.0,0.42828575,0.42828575,0.0,0.9666666666666667,0.9666666666666667,0.0,True,True,True,True,-0.061325815,-0.061325815,-0.06414343456968519,-0.06414343456968519,0.46835443037974683,0.46835443037974683,0.534864556199202,0.534864556199202,False,False
41,41,68128,7,7,0.02,1,1,False,1.2716453,1.2716453,0.0,0.48530513,0.48530513,1,1,1,1.0,0.07293614,0.07293614,0.0,0.08125627158904647,0.08125627158904647,0.0,0.8554881,0.8554881,0.0,0.8823529411764706,0.8823529411764706,0.0,False,False,False,False,0.8611538,0.8611538,0.8763605744771492,0.8763605744771492,0.0,0.0,0.0,0.0,False,False
42,42,9857,65,65,0.02,7,7,False,0.23127842,0.23127842,0.0,-0.21052781,-0.21052781,1,1,1,0.95,-0.2762833,-0.2762833,0.0,-0.281226671517157,-0.281226671517157,0.0,0.18116085,0.18116085,0.0,1.0,1.0,0.0,True,True,True,True,0.1836729,0.1836729,0.1870781774484034,0.1870781774484034,0.0759493670886076,0.0759493670886076,0.007896179925770899,0.007896179925770899,True,True
43,43,42576,17,17,0.02,0,0,False,0.4005857,0.4005857,0.0,-0.58828235,-0.58828235,1,1,1,0.5375,-0.5693196,-0.5693196,0.0,-0.580473963409272,-0.580473963409272,0.0,0.12417533,0.12417533,0.0,1.0,1.0,0.0,True,True,True,True,-0.009946984,-0.009946984,-0.01021802480699649,-0.01021802480699649,0.5189873417721519,0.5189873417721519,0.08063734965363148,0.08063734965363148,False,False
44,44,532159,13,13,0.02,5,5,False,4.2227683,4.2227683,0.0,1.4535556,1.4535556,1,1,1,1.0,1.8256912,1.8256912,0.0,1.8481684775346983,1.8481684775346983,0.0,3.9199183,3.9199183,0.0,0.8,0.8,0.0,False,False,False,False,4.613195,4.613195,4.693015619059599,4.693015619059599,0.0,0.0,0.0,0.0,False,False
45,45,529148,73,73,0.02,5,5,False,0.54871345,0.54871345,0.0,-0.54005194,-0.54005194,1,1,1,0.925,-0.43011034,-0.43011034,0.0,-0.44005056360596473,-0.44005056360596473,0.0,0.6263383,0.6263383,0.0,0.7647058823529411,0.7647058823529411,0.0,True,True,True,True,0.44025472,0.44025472,0.44795981660407325,0.44795981660407325,0.0759493670886076,0.0759493670886076,0.013597101238906114,0.013597101238906114,True,True
46,46,73009,1,1,0.02,1,1,False,2.0059085,2.0059085,0.0,-0.9771273,-0.9771273,1,1,1,0.9,-1.756965,-1.756965,0.0,-1.796814729457851,-1.796814729457851,0.0,1.2753597,1.2753597,0.0,1.0,1.0,0.0,True,True,True,True,0.4260615,0.4260615,0.43434081962377624,0.43434081962377624,0.2911392405063291,0.2911392405063291,0.16186121624936617,0.16186121624936617,True,True
47,47,36049,7,7,0.02,3,3,False,0.8650136,0.8650136,0.0,-0.825256,-0.825256,1,1,1,0.7,-0.8389222,-0.8389222,0.0,-0.8587592860607862,-0.8587592860607862,0.0,0.4562788,0.4562788,0.0,0.22916666666666666,0.22916666666666666,0.0,True,True,True,True,0.29461825,0.29461825,0.29913000864693706,0.29913000864693706,0.2911392405063291,0.2911392405063291,0.08976200021861988,0.08976200021861988,False,False
48,48,307786,1,1,0.02,6,6,False,0.15553358,0.15553358,0.0,0.41878435,0.41878435,1,1,1,1.0,-0.31864288,-0.31864288,0.0,-0.08589874243572782,-0.08589874243572782,0.0,0.14865838,0.14865838,0.0,0.7857142857142857,0.7857142857142857,0.0,True,True,True,True,1.318808,1.318808,1.3438419654884242,1.3438419654884242,0.012658227848101266,0.012658227848101266,0.0010873258536168078,0.0010873258536168078,True,True
49,49,28452,82,82,0.02,5,7,True,0.6011906,0.5878683,-0.013322353,-1.3233545,-0.14334267,2,1,1,0.9,-1.3926396,-0.19013889,1.2025007,-1.4257777080044127,-0.17573314938586593,1.250044558618547,0.40236858,0.48692515,0.08455658,1.0,1.0,0.0,True,True,True,True,-0.062137086,0.2258632,-0.06417369269553375,0.2293041980775194,0.5189873417721519,0.13924050632911392,0.1728598012256825,0.011246114845100368,False,True
50,50,363981,1,1,0.02,7,7,False,0.73775095,0.73775095,0.0,-3.2745533,-3.2745533,1,1,1,0.875,-3.4463768,-3.4463768,0.0,-3.5118347786802766,-3.5118347786802766,0.0,0.26818916,0.26818916,0.0,1.0,1.0,0.0,True,True,True,True,0.8877199,0.8877199,0.9045559204774518,0.9045559204774518,0.16455696202531644,0.16455696202531644,0.17884265310767652,0.17884265310767652,True,True
51,51,434043,59,59,0.02,3,3,False,1.1542569,1.1542569,0.0,-1.2075998,-1.2075998,1,1,1,0.9375,-0.9849842,-0.9849842,0.0,-0.9836602584531735,-0.9836602584531735,0.0,0.9549818,0.9549818,0.0,0.7575757575757576,0.7575757575757576,0.0,True,True,True,True,1.3348193,1.3348193,1.3588655509677974,1.3588655509677974,0.06329113924050633,0.06329113924050633,0.03013359634472735,0.03013359634472735,True,True
52,52,536369,79,79,0.02,4,4,False,1.6155959,1.6155959,0.0,-2.3657546,-2.3657546,1,1,1,0.875,-1.9402248,-1.9402248,0.0,-1.974809789978232,-1.974809789978232,0.0,1.4674183,1.4674183,0.0,0.875,0.875,0.0,True,True,True,True,1.1329243,1.1329243,1.1515185779775028,1.1515185779775028,0.12658227848101267,0.12658227848101267,0.09426563734259936,0.09426563734259936,True,True
53,53,547196,67,67,0.02,7,7,False,1.6462615,1.6462615,0.0,0.27032113,0.27032113,1,1,1,1.0,0.42493057,0.42493057,0.0,0.4238925599844001,0.4238925599844001,0.0,1.8025084,1.8025084,0.0,0.9230769230769231,0.9230769230769231,0.0,False,False,False,False,1.513204,1.513204,1.5335303268294425,1.5335303268294425,0.0,0.0,0.0,0.0,False,False
54,54,228854,63,63,0.02,3,3,False,0.6817452,0.6817452,0.0,-0.31266087,-0.31266087,1,1,1,0.9875,-0.44948253,-0.44948253,0.0,-0.4585400131781152,-0.4585400131781152,0.0,0.6505143,0.6505143,0.0,1.0,1.0,0.0,True,True,True,True,0.9697919,0.9697919,0.985312158333148,0.985312158333148,0.012658227848101266,0.012658227848101266,0.005804303964279939,0.005804303964279939,True,True
55,55,294776,1,1,0.02,6,6,False,0.5776202,0.5776202,0.0,-2.7263937,-2.7263937,1,1,1,0.5125,-1.9092327,-1.9092327,0.0,-1.7580190241342761,-1.7580190241342761,0.0,-0.08088422,-0.08088422,0.0,0.44,0.44,0.0,True,True,True,True,0.0975293,0.0975293,0.09979574105587291,0.09979574105587291,0.46835443037974683,0.46835443037974683,0.3963620791112972,0.3963620791112972,False,False
56,56,254516,1,1,0.02,4,4,False,0.10544547,0.10544547,0.0,-0.11253577,-0.11253577,2,1,1,0.8125,-0.07415556,-0.07415556,0.0,-0.07535843534793289,-0.07535843534793289,0.0,0.08028979,0.08028979,0.0,0.42857142857142855,0.42857142857142855,0.0,True,True,True,True,0.063946374,0.063946374,0.06514179178648646,0.06514179178648646,0.08860759493670886,0.08860759493670886,0.0022118487647328016,0.0022118487647328016,False,False
57,57,162362,28,28,0.02,0,0,False,1.6159303,1.6159303,0.0,0.77897936,0.77897936,1,1,1,1.0,1.0549712,1.0549712,0.0,1.1264313097633822,1.1264313097633822,0.0,1.525856,1.525856,0.0,0.9375,0.9375,0.0,False,False,False,False,2.114584,2.114584,2.1607746985115863,2.1607746985115863,0.0,0.0,0.0,0.0,False,False
58,58,415413,3,3,0.02,0,0,False,1.3882098,1.3882098,0.0,-0.7729211,-0.7729211,1,1,1,0.9375,-0.6062637,-0.6062637,0.0,-0.6170428302663911,-0.6170428302663911,0.0,1.0891037,1.0891037,0.0,0.1,0.1,0.0,True,True,True,True,1.1838452,1.1838452,1.2037892739665648,1.2037892739665648,0.05063291139240506,0.05063291139240506,0.017270283856351893,0.017270283856351893,False,False
59,59,233815,22,22,0.02,6,6,False,0.43940115,0.43940115,0.0,-0.46101725,-0.46101725,1,1,1,0.725,-0.49959564,-0.49959564,0.0,-0.491474991841205,-0.491474991841205,0.0,0.2352101,0.2352101,0.0,0.38461538461538464,0.38461538461538464,0.0,True,True,True,True,0.13161682,0.13161682,0.13457941674829887,0.13457941674829887,0.34177215189873417,0.34177215189873417,0.06172881083634526,0.06172881083634526,False,False
60,60,373571,1,1,0.02,2,2,False,0.54928714,0.54928714,0.0,-0.8350429,-0.8350429,1,1,1,0.6875,-0.42112145,-0.42112145,0.0,-0.41170774201466487,-0.41170774201466487,0.0,0.62723684,0.62723684,0.0,0.4358974358974359,0.4358974358974359,0.0,True,True,True,True,0.3156127,0.3156127,0.32165107532613413,0.32165107532613413,0.11392405063291139,0.11392405063291139,0.016514366418694398,0.016514366418694398,False,False
61,61,541837,67,67,0.02,1,1,False,0.51677245,0.51677245,0.0,-1.0744131,-1.0744131,1,1,1,0.925,-0.796544,-0.796544,0.0,-0.8165666051776628,-0.8165666051776628,0.0,0.6429197,0.6429197,0.0,0.5686274509803921,0.5686274509803921,0.0,True,True,True,True,1.2834116,1.2834116,1.305026990321556,1.305026990321556,0.02531645569620253,0.02531645569620253,0.016180524413505065,0.016180524413505065,True,True
62,62,462890,65,65,0.02,2,2,False,1.8089762,1.8089762,0.0,0.6847123,0.6847123,1,1,1,1.0,0.51539123,0.51539123,0.0,0.5448436840403701,0.5448436840403701,0.0,1.532761,1.532761,0.0,1.0,1.0,0.0,False,False,False,False,1.7497948,1.7497948,1.7818727588214327,1.7818727588214327,0.0,0.0,0.0,0.0,False,False
